order_id;motivo_quarentena;order_status;ativo;filial;filial_cidade;filial_uf_cep;seller_id;origem_registo;customer_id;cliente_cidade;cliente_uf;cliente_uf_cep;cliente_cep_prefixo;dt_compra;dt_aprovacao;dt_coleta;dt_entrega;dt_prazo;dt_limite_expedicao;n_itens;product_id;peso_g;peso_g_original;valor_mercadoria;valor_frete;valor_pago;canal_pagamento;lead_dias;dias_vs_prazo;atraso_mensuravel;atrasado;vencido_sem_registo;atraso_honesto;qa_canal_indefinido;qa_cauda_incompleta;qa_cep_sem_geo;qa_cidade_regrafada;qa_entrega_antes_coleta;qa_frete_desproporcional;qa_frete_zero;qa_lag_despacho_negativo;qa_lead_implausivel;qa_pagamento_divergente;qa_pagamento_invalido;qa_peso_implausivel;qa_peso_invalido;qa_quase_duplicado;qa_sem_dt_aprovacao;qa_sem_dt_coleta;qa_sem_dt_entrega;qa_sem_item;qa_sem_peso;qa_uf_cliente_incoerente;qa_uf_filial_incoerente;qa_flags_total;qa_quarentena
dcb36b511fcac050b97cd5c05de84dc3;lag_despacho_negativo;delivered;True;DF;Brasília;DF;89a51f50b8095ea78d5768f34c13a76f;1-10 pedidos;3b6828a50ffe546942b7a473d70ac0fc;Goiânia;GO;GO;74820;2018-06-07 19:03:12;2018-06-12 23:31:02;2018-06-11 14:54:00;2018-06-21 15:34:32;2018-07-04 00:00:00;2018-06-18 18:59:02;1.0;009c09f439988bc06a93d6b8186dce73;150.0;150.0;132.4;14.05;146.45;credit_card;13.855;-12.351;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
688052146432ef8253587b930b01a06d;lag_despacho_negativo;delivered;True;MG;Ilicínea;MG;a1043bafd471dff536d0c462352beb48;101-1000;81e08b08e5ed4472008030d70327c71f;Juíz de Fora;MG;MG;36045;2018-04-22 08:48:13;2018-04-24 18:25:22;2018-04-23 19:19:14;2018-04-24 19:31:58;2018-05-15 00:00:00;2018-04-26 09:31:11;2.0;d1c427060a0f73f6b889a5c7c61f2ac4;6550.0;6550.0;318.0;28.09;346.09;credit_card;2.447;-20.186;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
58d4c4747ee059eeeb865b349b41f53a;lag_despacho_negativo;delivered;True;SP;Atibaia;SP;16090f2ca825584b5a147ab24aa30c86;101-1000;1755fad7863475346bc6c3773fe055d3;Santa Bárbara D'oeste;SP;SP;13454;2018-07-21 12:49:32;2018-07-26 23:31:53;2018-07-24 12:57:00;2018-07-25 23:58:19;2018-07-31 00:00:00;2018-07-26 03:45:26;1.0;1613b819ab5dae53aead2dbb4ebdb378;50.0;50.0;27.9;7.46;35.36;boleto;4.464;-5.001;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
412fccb2b44a99b36714bca3fef8ad7b;lag_despacho_negativo;delivered;True;SP;Guarulhos;SP;7681ef142fd2c19048da7430856b5588;11-100;c6865c523687cb3f235aa599afef1710;Mairiporã;SP;SP;7600;2018-07-22 22:30:05;2018-07-23 12:31:53;2018-07-23 12:24:00;2018-07-24 19:26:42;2018-07-31 00:00:00;2018-07-25 11:03:54;1.0;d04bbac48960ecb7ea311b00ca6e1cb7;11325.0;11325.0;102.0;38.88;140.88;credit_card;1.873;-6.19;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
56a4ac10a4a8f2ba7693523bb439eede;lag_despacho_negativo;delivered;True;SP;São Paulo;SP;8b321bb669392f5163d04c59e235e066;101-1000;78438ba6ace7d2cb023dbbc81b083562;Ubatuba;SP;SP;11680;2018-07-22 13:04:47;2018-07-27 23:31:09;2018-07-24 14:03:00;2018-07-28 00:05:39;2018-08-06 00:00:00;2018-07-26 04:10:15;1.0;ab1f9387c0627dd24000bfbc54fdeee0;175.0;175.0;19.9;12.8;32.7;boleto;5.459;-8.996;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
32e4fa9bb468884309b58b9348de70c3;lag_despacho_negativo;delivered;True;SP;Birigüi;SP;709e16e2b25c7474d980076c6bfc4806;11-100;e54367d4b00c5cb76d2dfe71b9bdb89c;São Paulo;SP;SP;2078;2018-07-04 16:49:21;2018-07-05 16:33:06;2018-07-05 14:50:00;2018-07-07 14:41:18;2018-07-23 00:00:00;2018-07-06 17:31:30;2.0;6d0d7c2d9a4b8b79dbc12c47c74349dd;300.0;300.0;118.0;26.14;144.14;credit_card;2.911;-15.388;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;2;True
4df92d82d79c3b52c7138679fa9b07fc;lag_despacho_negativo;delivered;True;SP;São Paulo;SP;1025f0e2d44d7041d6cf58b6550e0bfa;101-1000;ba0660bf3fffe505ee892e153a2fbd49;São Paulo;SP;SP;4753;2018-07-24 11:32:11;2018-07-29 23:30:52;2018-07-26 14:46:00;2018-07-27 18:55:57;2018-08-06 00:00:00;2018-07-31 12:55:27;1.0;de533fe5b9448ea9792195806938dbf5;1650.0;1650.0;196.8;12.4;209.2;credit_card;3.308;-9.211;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
16e38caa92e342c7780f68832f832d4d;lag_despacho_negativo;delivered;True;RS;Carazinho;RS;b1a81260566c1bac3114a6d124413f27;11-100;d29935fdaf4a76f34653da3def4f2a24;Confresa;MT;MT;78652;2018-05-07 01:09:09;2018-05-07 16:52:39;2018-05-07 15:09:00;2018-05-24 00:31:18;2018-06-07 00:00:00;2018-05-11 16:52:39;1.0;4a1ccd2d546bbea7809a0cf98863eb50;900.0;900.0;189.9;53.46;243.36;credit_card;16.974;-13.978;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
b9afddbdcfadc9a87b41a83271c3e888;lag_despacho_negativo;delivered;True;SP;Ibitinga;SP;640e21a7d01df7614a3b4923e990d40c;101-1000;85c6af75161b8b2b1af98e82b5a6a5a5;Niterói;RJ;RJ;24070;2018-08-16 13:50:48;2018-08-16 14:05:13;2018-08-16 13:27:00;2018-08-24 14:58:37;2018-09-04 00:00:00;2018-08-20 14:05:13;1.0;703d742887bb9267f89b675608ba7aa0;950.0;950.0;56.1;19.58;75.68;credit_card;8.047;-10.376;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
6051e6d3da9a50b7325cbe9c81025062;lag_despacho_negativo;delivered;True;SP;Carapicuíba;SP;4c498c7345e89aebad651544829beca0;11-100;c25122206bfcb3ffa950706e1cb10f2b;Indaiatuba;SP;SP;13348;2018-07-03 23:40:16;2018-07-05 16:31:26;2018-07-04 12:14:00;2018-07-05 22:52:28;2018-07-19 00:00:00;2018-07-10 00:30:39;1.0;4c77d14c542fcd857dddc3df2e82329c;267.0;267.0;249.49;9.01;258.5;credit_card;1.967;-13.047;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
7ebe19943d85e81a7b0eb108681276b7;lag_despacho_negativo;delivered;True;SP;Ibitinga;SP;391fc6631aebcf3004804e51b40bcf1e;101-1000;fa3a8736d5ae8f7df9b0a4154d0b14dc;Brasília;DF;;71551;2018-07-22 10:28:14;2018-07-23 11:31:43;2018-07-23 10:09:00;2018-07-26 16:42:42;2018-08-15 00:00:00;2018-08-01 09:03:37;2.0;9d32095f76b97762307e86cfc18dd7a0;400.0;400.0;169.85000000000002;42.09;211.94;credit_card;4.26;-19.304;True;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;2;True
95fa26b6ea476ed040e592e0a825d6f0;lag_despacho_negativo;delivered;True;RJ;Teresópolis;RJ;edb1ef5e36e0c8cd84eb3c9b003e486d;101-1000;9aad6db5643769b3d802a87328ec31e2;Cabo Frio;RJ;RJ;28909;2018-06-06 13:48:42;2018-06-06 14:13:02;2018-06-06 14:02:00;2018-06-11 16:55:40;2018-07-12 00:00:00;2018-06-14 14:13:02;1.0;da8b72e46537fe5af3ade4bc6120f05c;100.0;100.0;149.65;14.04;163.69;credit_card;5.13;-30.295;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
c6512da3ccb5263223de71b8888d4db1;lag_despacho_negativo;delivered;True;SP;São Paulo;SP;725c32fa80c2faacc4fc88450d27314e;11-100;d6e565ef81b0c1256bf8276040252672;São Paulo;SP;SP;5185;2018-07-04 11:38:50;2018-07-05 16:40:14;2018-07-04 14:29:00;2018-07-06 17:18:32;2018-07-17 00:00:00;2018-07-06 12:31:08;1.0;209d347513cb03998c962964dc046f93;1200.0;1200.0;199.0;12.41;211.41;credit_card;2.236;-10.279;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
cee9f1845c95efd83885a0b2f7a22b83;lag_despacho_negativo;delivered;True;SP;Piracicaba;SP;da8622b14eb17ae2831f4ac5b9dab84a;>1000;4d47b7a61cf3d32d4ec12b531a57539b;Curitiba;PR;PR;82560;2018-07-29 12:47:00;2018-08-01 16:31:40;2018-07-31 15:00:00;2018-08-03 18:20:55;2018-08-10 00:00:00;2018-08-02 16:15:23;1.0;fad534edb8f35664713c4b766fa473d4;400.0;400.0;44.9;19.5;64.4;credit_card;5.232;-6.235;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
ad133696906f6a78826daa0911b7daec;lag_despacho_negativo;delivered;True;SP;Presidente Prudente;SP;5b85809efd0d0e4dea1a9544e1280ed9;11-100;e6f5b234bb0d847f10eebd70130c5d49;Criciúma;SC;SC;88801;2018-06-15 15:41:22;2018-06-15 16:19:23;2018-06-15 14:52:00;2018-06-22 18:09:37;2018-07-18 00:00:00;2018-06-21 16:19:23;1.0;bff381f7e26b290f53b9f5669eb7dfd5;650.0;650.0;199.9;19.5;219.4;credit_card;7.103;-25.243;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
00b1cb0320190ca0daa2c88b35206009;pagamento_invalido|canal_indefinido;canceled;False;SEM_FILIAL;;;;SEM_VENDEDOR;3532ba38a3fd242259a514ac2b6ae6b6;São Paulo;SP;SP;1151;2018-08-28 15:26:39;;;;2018-09-12 00:00:00;;;;;;;;0.0;not_defined;;;False;;False;;True;True;False;False;False;False;False;False;False;False;True;False;False;False;True;True;True;True;True;False;False;8;True
0fe8aad910ff05e73b0ddb0a89e61b21;lag_despacho_negativo;delivered;True;SP;São Paulo;SP;768a86e36ad6aae3d03ee3c6433d61df;11-100;100a8d4dd80b65dc63ffb17fdd39ba28;Londrina;PR;PR;86050;2018-07-01 20:11:26;2018-07-05 16:02:47;2018-07-03 10:21:00;2018-07-06 18:41:54;2018-07-26 00:00:00;2018-07-09 05:31:28;1.0;0496f30fa502d5454825087842d7a497;250.0;250.0;39.0;18.37;57.37;boleto;4.938;-19.221;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;1;True
